Gene,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
FBgn0031157,0.785509105,0.999775474,-123.6771191,-124.8970981,9,4,144.4085392,0,0,0,0.35842722,0.949736616,0.942730832,0.999999999,FALSE,FALSE,FALSE
FBgn0031161,0.745416742,0.999775474,-138.3401927,-139.6924863,9,4,389.8657801,0,0,0,0.264270033,0.949736616,0.99765728,0.999999999,FALSE,FALSE,FALSE
FBgn0031163,0.960988471,0.999775474,-16.34171438,-16.85139874,9,4,0.189360749,0,0,0,0.711447957,0.949736616,0.95263955,0.999999999,FALSE,FALSE,FALSE
FBgn0031168,0.914435015,0.999775474,-18.67622947,-19.42029673,9,4,0.08741694,0,0,0,0.636945636,0.949736616,0.899631435,0.999999999,FALSE,FALSE,FALSE
FBgn0031169,0.769989701,0.999775474,-84.43975517,-85.71130813,9,4,22.44777505,0,0,0,0.507573638,0.949736616,0.756152968,0.999999999,FALSE,FALSE,FALSE
FBgn0031171,0.863684159,0.999775474,-153.6657622,-154.6124833,9,4,620.5841283,0,0,0,0.604954767,0.949736616,0.828265034,0.999999999,FALSE,FALSE,FALSE
FBgn0031174,0.656536453,0.999775474,-168.5846294,-170.2258321,9,4,1146.123554,0,0,0,0.532208018,0.949736616,0.568067016,0.999999999,FALSE,FALSE,FALSE
FBgn0031176,0.943133634,0.999775474,-3.518557149,-4.12758421,9,4,1.74E-05,0,0,0,0.753823699,0.949736616,0.884231498,0.999999999,FALSE,FALSE,FALSE
FBgn0031178,0.943419041,0.999775474,-14.78308515,-15.39064291,9,4,0.300490034,0,0,0,0.559288826,0.949736616,0.996811611,0.999999999,FALSE,FALSE,FALSE
FBgn0031181,0.605506096,0.999775474,-49.03155777,-50.84091337,9,4,2.350846662,0,0,0,0.608911744,0.949736616,0.452854456,0.999999999,FALSE,FALSE,FALSE
FBgn0031182,0.470478364,0.999775474,-79.8614261,-82.14678269,9,4,14.12920591,0,0,0,0.310030274,0.949736616,0.526348286,0.999999999,FALSE,FALSE,FALSE
FBgn0031183,0.913790012,0.999775474,-126.6431038,-127.3899785,9,4,194.8196334,0,0,0,0.82855072,0.957365469,0.772828398,0.999999999,FALSE,FALSE,FALSE
FBgn0031184,0.79089828,0.999775474,-115.652361,-116.8542939,9,4,120.2757463,0,0,0,0.468680169,0.949736616,0.828275296,0.999999999,FALSE,FALSE,FALSE
FBgn0031187,0.151118771,0.999775474,-157.6532205,-161.7003313,9,4,1069.288952,0,0,0,0.214343078,0.949736616,0.17078456,0.999999999,FALSE,FALSE,FALSE
FBgn0031188,0.950059176,0.999775474,-134.7020152,-135.2744315,9,4,250.9847153,0,0,0,0.651498239,0.949736616,0.962293187,0.999999999,FALSE,FALSE,FALSE
FBgn0031189,0.17900322,0.999775474,-117.6302434,-121.4358581,9,4,122.696587,0,0,0,1,1,0.051236647,0.999999999,FALSE,FALSE,FALSE
FBgn0031190,0.338640947,0.999775474,-155.4248636,-158.2647239,9,4,784.5629712,0,0,0,0.462656179,0.949736616,0.246924759,0.999999999,FALSE,FALSE,FALSE
FBgn0031191,0.200832277,0.999775474,-121.0348782,-124.6734421,9,4,204.0889748,0,0,0,1,1,0.052948183,0.999999999,FALSE,FALSE,FALSE
FBgn0031194,0.897766674,0.999775474,-128.610239,-129.4245497,9,4,323.4147327,0,0,0,0.533141535,0.949736616,0.946229482,0.999999999,FALSE,FALSE,FALSE
FBgn0031195,0.638119616,0.999775474,-121.0246139,-122.7260924,9,4,143.6485818,0,0,0,0.195977463,0.949736616,0.986156766,0.999999999,FALSE,FALSE,FALSE
FBgn0031196,0.892161036,0.999775474,-53.12034191,-53.95733333,9,4,2.70423006,0,0,0,0.800975387,0.9510509,0.745786677,0.999999999,FALSE,FALSE,FALSE
FBgn0031197,0.971705296,0.999775474,-21.3895162,-21.82914363,9,4,0.165143997,0,0,0,0.680768824,0.949736616,0.990587173,0.999999999,FALSE,FALSE,FALSE
