gene_name,gene_id,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
CG40198,FBgn0058198,1.62073264562128e-23,6.9838843093135e-23,-34.0573279659608,-92.3736568741651,10,5,12.8810334307152,0,0,0,0.052973289134679,0.220257360086297,7.54184676470882e-24,3.43734169853075e-23,FALSE,TRUE,FALSE
Cow,FBgn0039054,2.71150845474872e-23,1.14754911388473e-22,-81.7724624671393,-139.560753587713,10,5,452.694957773939,0,0,0,1.89688854323803e-06,1.36742282279766e-05,3.21215161851251e-19,1.29030497218214e-18,TRUE,FALSE,FALSE
Roc1a,FBgn0025638,4.43384533671413e-21,1.84354621894956e-20,-47.7192256413886,-100.270656228108,10,5,24.0149275849249,0,0,0,1.74314090046058e-05,0.000108716945633989,6.35290240191391e-18,2.46825880205508e-17,TRUE,FALSE,FALSE
Cisd2,FBgn0062442,1.65636364016293e-20,6.7682445296313e-20,-88.6964196146371,-139.891431159606,10,5,771.727761920211,0,0,0,5.04419819992542e-08,4.4276850866012e-07,7.7690111327722e-15,2.78978127040456e-14,TRUE,FALSE,FALSE
wg,FBgn0284084,2.28397825893442e-20,9.17462453165183e-20,-66.4952600209111,-117.359441377384,10,5,18.8526398024062,0,0,0,0.697488185531995,1,9.43593482714462e-22,3.99342241791656e-21,FALSE,TRUE,FALSE
krz,FBgn0040206,1.21885823183705e-19,4.81449001575634e-19,-89.6097258043275,-138.748587953691,10,5,391.031001526984,0,0,0,0.00781183459356123,0.0356039384360387,4.43532025105505e-19,1.75195149916675e-18,FALSE,TRUE,FALSE
a,FBgn0000008,7.13948853872055e-19,2.77386685848651e-18,-69.0275547348323,-116.343138271414,10,5,121.850646310668,0,0,0,0.994896647222156,1,2.22729666587022e-20,9.26086508440774e-20,FALSE,TRUE,FALSE
rasp,FBgn0024194,1.75106671301931e-17,6.69359372557382e-17,-80.5930049461346,-124.602538766837,10,5,236.640769716947,0,0,0,3.83768570607348e-06,2.5986614638269e-05,1.29252671120144e-13,4.57207209783196e-13,TRUE,FALSE,FALSE
dlp,FBgn0041604,2.73207267626674e-17,1.02777972107177e-16,-71.6998794198454,-115.249164310689,10,5,213.729785373786,0,0,0,0.00263683020799215,0.0130193491519612,3.2469781537956e-16,1.22148225785644e-15,FALSE,TRUE,FALSE
GstE10,FBgn0063499,4.21329639487901e-17,1.56023632122863e-16,-62.490221207372,-105.591152318591,10,5,87.0162483316258,0,0,0,0.118242996719337,0.444818892420363,1.18195600098807e-17,4.51812213280924e-17,FALSE,TRUE,FALSE
Shc,FBgn0015296,1.12127167221376e-14,4.08832902022556e-14,-61.7983613511174,-99.1040576428616,10,5,58.1711208999892,0,0,0,0.624753583084904,1,6.98232165277507e-16,2.58564098704327e-15,FALSE,TRUE,FALSE
